_id,scanType,SSID,isAttendance,loc,name,round,roundType,scanTime,timeGap,user,company,createdAt,extraInfo.url
5e110e71c6113b0013eb24a4,regular,pladis_NG_Guest(21.0),FALSE,"c(6.6065857, 3.3141841)",A&P DOPEMU A_POWERHOUSE,19,circular,2020-01-04T18:18:03Z,0hr 58min,5ce823293581bf0013b44647,5ce822623581bf0013b4463b,2020-01-04T22:15:13Z,
5e10d6e6c6113b0013eb211a,regular,VODACOM-B315-B0CE(52.999996),FALSE,"c(-26.3764444, 28.3663687)",Chlorine Room,5,circular,2020-01-04T18:18:11Z,1hr 11min,592e9857b1bc36000430b25c,592e9549b1bc36000430b252,2020-01-04T18:18:14Z,
5e10d6f4c6113b0013eb211b,regular,NA(98.0),FALSE,"c(-26.2725944, 28.4745348)",Digest,7,circular,2020-01-04T18:18:23Z,0hr 55min,592e981eb1bc36000430b25b,592e9549b1bc36000430b252,2020-01-04T18:18:28Z,
5e10d6fcc6113b0013eb211c,regular,NA(58.0),FALSE,"c(-26.2231651, 28.3757838)",Tank 1,6,circular,2020-01-04T18:18:32Z,0hr 0min,592e9710b1bc36000430b256,592e9549b1bc36000430b252,2020-01-04T18:18:36Z,
5e10d71bc6113b0013eb211d,regular,Internet_F(52.0),FALSE,"c(-26.3768394, 28.3661257)",Rus Pump Room,5,circular,2020-01-04T18:19:04Z,1hr 10min,592e9857b1bc36000430b25c,592e9549b1bc36000430b252,2020-01-04T18:19:07Z,
5e10d7cac6113b0013eb213f,regular,NA(43.0),FALSE,"c(6.6050768, 3.3406232)",CAP_Factory Rear,11,circular,2020-01-04T18:19:10Z,0hr 49min,5b411441d30c0b00133c52f3,5ce8227b3581bf0013b4463d,2020-01-04T18:22:02Z,
5e10d724c6113b0013eb211e,regular,HP-Print-58-Officejet Pro 8610(77.0),FALSE,"c(-26.17029, 28.3968235)",Workshop entrance,8,circular,2020-01-04T18:19:14Z,1hr 5min,592e9760b1bc36000430b257,592e9549b1bc36000430b252,2020-01-04T18:19:16Z,
5e10d72ec6113b0013eb211f,regular,VODACOM-B315-B07E(58.0),FALSE,"c(-26.2235909, 28.3756072)",Main Office,6,circular,2020-01-04T18:19:24Z,0hr 0min,592e9710b1bc36000430b256,592e9549b1bc36000430b252,2020-01-04T18:19:26Z,
5e10d737c6113b0013eb2120,regular,NVRAM WARNING: Err = 0x10(88.0),FALSE,"c(-26.3582903, 28.1817314)",Substation,0,circular,2020-01-04T18:19:32Z,0hr 46min,592e992fb1bc36000430b261,592e9549b1bc36000430b252,2020-01-04T18:19:35Z,
5e10d741c6113b0013eb2121,regular,NVRAM WARNING: Err = 0x10(82.0),FALSE,"c(-26.0184083, 28.2817593)",Back Farm Gate,0,circular,2020-01-04T18:19:39Z,1hr 0min,592e99bfb1bc36000430b264,592e9549b1bc36000430b252,2020-01-04T18:19:45Z,
